ENSMUSG00000039262|Prrc2b
ENSMUSG00000071477|Zfp777
ENSMUSG00000024213|Nudt3
ENSMUSG00000036620|Mgat4b
ENSMUSG00000042625|Safb2
ENSMUSG00000028700|Pomgnt1
ENSMUSG00000058444|Map2k5
ENSMUSG00000013858|Tmem259
ENSMUSG00000036779|Papd5
ENSMUSG00000039308|Ndst2
ENSMUSG00000039307|Hexdc
