ENSMUSG00000042396|Rbm7
ENSMUSG00000057113|Npm1
ENSMUSG00000060992|Copz1
ENSMUSG00000040688|Tbl3
ENSMUSG00000026281|Dtymk
ENSMUSG00000055917|Zfp277
ENSMUSG00000054405|Dnajc8
ENSMUSG00000010755|Cars
ENSMUSG00000026005|Rpe
ENSMUSG00000028577|Plaa
ENSMUSG00000030264|Thumpd3
