ENSMUSG00000002668|Dennd1c
ENSMUSG00000057858|Fam204a
ENSMUSG00000073542|Cep76
ENSMUSG00000027967|Neurog2
ENSMUSG00000009772|Nuak2
ENSMUSG00000041235|Chd7
ENSMUSG00000027963|Extl2
ENSMUSG00000041974|Spidr
ENSMUSG00000043015|Nemp2
ENSMUSG00000050751|Pgbd5
ENSMUSG00000019880|Rspo3
