ENSMUSG00000070426|Rnf121
ENSMUSG00000015869|Prpsap1
ENSMUSG00000062352|Itgb1bp1
ENSMUSG00000028790|Khdrbs1
ENSMUSG00000032388|Spg21
ENSMUSG00000020288|Ahsa2
ENSMUSG00000023495|Pcbp4
ENSMUSG00000064181|Rab3ip
ENSMUSG00000035021|Baz1a
ENSMUSG00000031749|St3gal2
ENSMUSG00000037013|Ss18
