ENSMUSG00000054934|Kcnmb4
ENSMUSG00000002341|Ncan
ENSMUSG00000031604|Msmo1
ENSMUSG00000030087|Klf15
ENSMUSG00000030605|Mfge8
ENSMUSG00000037110|Ralgapa2
ENSMUSG00000039217|Il18
ENSMUSG00000024665|Fads2
ENSMUSG00000023913|Pla2g7
ENSMUSG00000032281|Acsbg1
ENSMUSG00000041329|Atp1b2
