ENSMUSG00000039824|Myl6b
ENSMUSG00000034891|Sncb
ENSMUSG00000055078|Gabra5
ENSMUSG00000096999|Gm26793
ENSMUSG00000051065|Mb21d2
ENSMUSG00000090223|Pcp4
ENSMUSG00000042978|Sbk1
ENSMUSG00000033214|Slitrk5
ENSMUSG00000029563|Foxp2
ENSMUSG00000028519|Dab1
ENSMUSG00000019785|Clvs2
