ENSMUSG00000063882|Uqcrh
ENSMUSG00000061518|Cox5b
ENSMUSG00000060739|Nsa2
ENSMUSG00000045767|B230219D22Rik
ENSMUSG00000027677|Ttc14
ENSMUSG00000024914|Drap1
ENSMUSG00000062931|Zfp938
ENSMUSG00000062929|Cfl2
ENSMUSG00000021816|Ppp3cb
ENSMUSG00000032330|Cox7a2
ENSMUSG00000055629|B4galnt4
