ENSMUSG00000021532|Fastkd3
ENSMUSG00000050323|Ndufaf6
ENSMUSG00000024539|Ptpn2
ENSMUSG00000024947|Men1
ENSMUSG00000024613|Tcof1
ENSMUSG00000025747|Tyms
ENSMUSG00000028896|Rcc1
ENSMUSG00000025616|Usp16
ENSMUSG00000025157|Zdhhc16
ENSMUSG00000018287|Spag7
ENSMUSG00000031781|Ciapin1
