ENSMUSG00000049717|Lig4
ENSMUSG00000075600|Zc3h3
ENSMUSG00000021189|Atxn3
ENSMUSG00000000441|Raf1
ENSMUSG00000042642|Flad1
ENSMUSG00000027439|Gzf1
ENSMUSG00000006276|Eps15l1
ENSMUSG00000027708|Dcun1d1
ENSMUSG00000099966|2810402E24Rik
ENSMUSG00000057551|Zfp317
ENSMUSG00000024240|Epc1
