ENSMUSG00000037894|H2afz
ENSMUSG00000062248|Cks2
ENSMUSG00000023505|Cdca3
ENSMUSG00000028653|Trit1
ENSMUSG00000075376|Rc3h2
ENSMUSG00000027306|Nusap1
ENSMUSG00000002741|Ykt6
ENSMUSG00000029227|Fip1l1
ENSMUSG00000063884|Ptcd3
ENSMUSG00000006134|Crkl
ENSMUSG00000021051|Ppp2r5e
