ENSMUSG00000068748|Ptprz1
ENSMUSG00000058135|Gstm1
ENSMUSG00000021071|Trim9
ENSMUSG00000003581|Rnf215
ENSMUSG00000071722|Spin4
ENSMUSG00000005089|Slc1a2
ENSMUSG00000017390|Aldoc
ENSMUSG00000021238|Aldh6a1
ENSMUSG00000008035|Mid1ip1
ENSMUSG00000047632|Fgfbp3
ENSMUSG00000029209|Gnpda2
