ENSMUSG00000021125|Arg2
ENSMUSG00000060206|Zfp462
ENSMUSG00000051817|Sox12
ENSMUSG00000047221|Fam185a
ENSMUSG00000063659|Zbtb18
ENSMUSG00000050174|Nudt6
ENSMUSG00000022340|Sybu
ENSMUSG00000049288|Lix1l
ENSMUSG00000038524|Fchsd1
ENSMUSG00000098087|Gm17750
ENSMUSG00000022756|Slc7a4
