ENSMUSG00000014355|Anapc1
ENSMUSG00000026766|Mmadhc
ENSMUSG00000001100|Poldip2
ENSMUSG00000021715|Cwc27
ENSMUSG00000062083|Rpl13a-ps1
ENSMUSG00000028975|Pex14
ENSMUSG00000039737|Prkrip1
ENSMUSG00000026240|Cops7b
ENSMUSG00000021952|Xpo4
ENSMUSG00000005683|Cs
ENSMUSG00000029701|Rbm28
