ENSMUSG00000028234|Rps20
ENSMUSG00000027679|Dnajc19
ENSMUSG00000021282|Eif5
ENSMUSG00000037563|Rps16
ENSMUSG00000037361|Sf3b6
ENSMUSG00000002477|Snrpd1
ENSMUSG00000053317|Sec61b
ENSMUSG00000040139|9430038I01Rik
ENSMUSG00000037805|Rpl10a
ENSMUSG00000025508|Rplp2
ENSMUSG00000022978|Mis18a
