ENSMUSG00000032714|Syde1
ENSMUSG00000020205|Phlda1
ENSMUSG00000101013|A630072M18Rik
ENSMUSG00000021483|Cdk20
ENSMUSG00000090083|Rnf8
ENSMUSG00000110185|Igip
ENSMUSG00000060572|Mfap2
ENSMUSG00000018672|Copz2
ENSMUSG00000103309|BC037039
ENSMUSG00000021464|Ror2
ENSMUSG00000052188|Gm14964
