ENSMUSG00000056306|Sertm1
ENSMUSG00000000394|Gcg
ENSMUSG00000059742|Kcnh7
ENSMUSG00000026893|Gca
ENSMUSG00000072437|Nanos1
ENSMUSG00000032452|Clstn2
ENSMUSG00000029869|Ephb6
ENSMUSG00000022661|Cd200
ENSMUSG00000042453|Reln
ENSMUSG00000046719|Nxph3
ENSMUSG00000033147|Slc22a15
