ENSMUSG00000061601|Pclo
ENSMUSG00000073293|Nudt10
ENSMUSG00000018102|Hist1h2bc
ENSMUSG00000020889|Nr1d1
ENSMUSG00000032602|Slc25a20
ENSMUSG00000039428|Tmem135
ENSMUSG00000021194|Chga
ENSMUSG00000041117|Ccdc8
ENSMUSG00000039943|Plcb4
ENSMUSG00000026185|Igfbp5
ENSMUSG00000046818|Ddit4l
