ENSMUSG00000001018|Snapin
ENSMUSG00000051391|Ywhag
ENSMUSG00000021661|Ankra2
ENSMUSG00000039753|Fbxl5
ENSMUSG00000039704|Lmbrd2
ENSMUSG00000062376|Borcs7
ENSMUSG00000028300|3110043O21Rik
ENSMUSG00000037266|Rsrp1
ENSMUSG00000024580|Grpel2
ENSMUSG00000066235|Pomgnt2
ENSMUSG00000064264|Zfp428
