ENSMUSG00000049091|Sephs2
ENSMUSG00000040620|Dhx33
ENSMUSG00000026439|Rbbp5
ENSMUSG00000029147|Ppm1g
ENSMUSG00000022710|Usp7
ENSMUSG00000025193|Cutc
ENSMUSG00000070738|Dgkd
ENSMUSG00000040883|Tmem205
ENSMUSG00000027650|Tti1
ENSMUSG00000059273|Zc3h4
ENSMUSG00000005150|Wdr83
