ENSMUSG00000002205|Vrk3
ENSMUSG00000047067|Dusp28
ENSMUSG00000052299|Ltn1
ENSMUSG00000001518|Itfg2
ENSMUSG00000033653|Vps8
ENSMUSG00000014301|Pam16
ENSMUSG00000027933|Ints3
ENSMUSG00000034108|Ccs
ENSMUSG00000042390|Gatad2b
ENSMUSG00000014496|Ankrd28
ENSMUSG00000026154|Sdhaf4
