ENSMUSG00000029344|Tpst2
ENSMUSG00000060032|H2afj
ENSMUSG00000055681|Cope
ENSMUSG00000029063|Nadk
ENSMUSG00000031078|Cttn
ENSMUSG00000027287|Snap23
ENSMUSG00000061306|Slc38a10
ENSMUSG00000074918|Inafm2
ENSMUSG00000005103|Wdr1
ENSMUSG00000041028|Ghitm
ENSMUSG00000026035|Ppil3
