ENSMUSG00000021178|Psmc1
ENSMUSG00000062797|Hikeshi
ENSMUSG00000022570|Tsta3
ENSMUSG00000068922|Msto1
ENSMUSG00000075229|Ccdc58
ENSMUSG00000033845|Mrpl15
ENSMUSG00000033047|Eif3l
ENSMUSG00000021500|Ddx46
ENSMUSG00000032267|Usp28
ENSMUSG00000042207|Kdm5b
ENSMUSG00000021807|Rtraf
