ENSMUSG00000032386|Trip4
ENSMUSG00000054874|Pcnx3
ENSMUSG00000019947|Arid5b
ENSMUSG00000005575|Ube2m
ENSMUSG00000053333|Dis3l2
ENSMUSG00000045594|Glb1
ENSMUSG00000026181|Ppm1f
ENSMUSG00000037326|Capn15
ENSMUSG00000078671|Chd2
ENSMUSG00000046707|Csnk2a2
ENSMUSG00000020661|Dnmt3a
