ENSMUSG00000021823|Vcl
ENSMUSG00000021814|Anxa7
ENSMUSG00000068335|Dok1
ENSMUSG00000021709|Erbin
ENSMUSG00000029233|Srd5a3
ENSMUSG00000042590|Ipo11
ENSMUSG00000002997|Prkar2b
ENSMUSG00000028465|Tln1
ENSMUSG00000043432|Leng9
ENSMUSG00000035183|Slc24a5
ENSMUSG00000026727|Rsu1
