ENSMUSG00000028347|Tmeff1
ENSMUSG00000032641|Gpr19
ENSMUSG00000069601|Ank3
ENSMUSG00000089810|Gm16536
ENSMUSG00000053137|Mapk11
ENSMUSG00000030411|Nova2
ENSMUSG00000017386|Traf4
ENSMUSG00000056854|Pou3f4
ENSMUSG00000032291|Crabp1
ENSMUSG00000025959|Klf7
ENSMUSG00000017677|Wsb1
