ENSMUSG00000013997|Nit1
ENSMUSG00000020687|Cdc27
ENSMUSG00000032245|Cln6
ENSMUSG00000036572|Upf3b
ENSMUSG00000028419|Chmp5
ENSMUSG00000055128|Cgrrf1
ENSMUSG00000024197|Plin3
ENSMUSG00000025758|Plk4
ENSMUSG00000002608|Ccdc97
ENSMUSG00000056999|Ide
ENSMUSG00000063362|Alg11
