ENSMUSG00000058153|Sez6l
ENSMUSG00000042115|Klhdc8a
ENSMUSG00000051499|Zfp786
ENSMUSG00000049630|C1ql3
ENSMUSG00000022176|Rem2
ENSMUSG00000026826|Nr4a2
ENSMUSG00000030500|Slc17a6
ENSMUSG00000041544|Disp3
ENSMUSG00000031530|Dusp4
ENSMUSG00000036218|Pdzrn4
ENSMUSG00000041046|Ramp3
