ENSMUSG00000079144|A130010J15Rik
ENSMUSG00000049421|Zfp260
ENSMUSG00000057363|Uxs1
ENSMUSG00000004631|Sgce
ENSMUSG00000034216|Vps18
ENSMUSG00000026553|Copa
ENSMUSG00000021357|Exoc2
ENSMUSG00000031864|Ints10
ENSMUSG00000053460|Ggcx
ENSMUSG00000041623|D11Wsu47e
ENSMUSG00000000340|Dbt
