ENSMUSG00000030707|Coro1a
ENSMUSG00000060802|B2m
ENSMUSG00000029616|Erp29
ENSMUSG00000030965|Abraxas2
ENSMUSG00000004446|Bid
ENSMUSG00000062691|Cebpzos
ENSMUSG00000043131|Mob1a
ENSMUSG00000027763|Mbnl1
ENSMUSG00000023143|Nagpa
ENSMUSG00000022540|Rogdi
ENSMUSG00000043998|Mgat2
