ENSMUSG00000028184|Adgrl2
ENSMUSG00000028266|Lmo4
ENSMUSG00000021221|Dpf3
ENSMUSG00000032252|Glce
ENSMUSG00000018589|Glra2
ENSMUSG00000025582|Nptx1
ENSMUSG00000000632|Sez6
ENSMUSG00000039166|Akap7
ENSMUSG00000056708|Ier5
ENSMUSG00000034173|Zbed5
ENSMUSG00000009418|Nav1
