ENSMUSG00000030556|Lrrc28
ENSMUSG00000032097|Ddx6
ENSMUSG00000031446|Cul4a
ENSMUSG00000031731|Ap1g1
ENSMUSG00000046229|Scand1
ENSMUSG00000001729|Akt1
ENSMUSG00000046574|Prr12
ENSMUSG00000061589|Dot1l
ENSMUSG00000020456|Ogdh
ENSMUSG00000039850|Endov
ENSMUSG00000000374|Trappc10
