ENSMUSG00000017561|Crlf3
ENSMUSG00000025937|Lactb2
ENSMUSG00000025869|Nop16
ENSMUSG00000030189|Ybx3
ENSMUSG00000095567|Noc2l
ENSMUSG00000040463|Mybbp1a
ENSMUSG00000022407|Adsl
ENSMUSG00000025732|Mcrip2
ENSMUSG00000027327|1700037H04Rik
ENSMUSG00000006442|Srm
ENSMUSG00000034059|Ypel4
