ENSMUSG00000023011|Faim2
ENSMUSG00000022270|Retreg1
ENSMUSG00000056596|Trnp1
ENSMUSG00000038539|Atf5
ENSMUSG00000034098|Fstl5
ENSMUSG00000054893|Zfp667
ENSMUSG00000047907|Tshz2
ENSMUSG00000023232|Serinc2
ENSMUSG00000024524|Gnal
ENSMUSG00000070473|Cldn3
ENSMUSG00000020333|Acsl6
