ENSMUSG00000035235|Trim13
ENSMUSG00000046598|Bdh1
ENSMUSG00000089809|Rasgef1b
ENSMUSG00000029832|Nfe2l3
ENSMUSG00000018427|Ypel2
ENSMUSG00000029482|Aacs
ENSMUSG00000019873|Reep3
ENSMUSG00000022265|Ank
ENSMUSG00000028059|Arhgef2
ENSMUSG00000022770|Dlg1
ENSMUSG00000022358|Fbxo32
