ENSMUSG00000038365|Fbxo25
ENSMUSG00000029804|Herc3
ENSMUSG00000002012|Pnck
ENSMUSG00000039474|Wfs1
ENSMUSG00000073678|Pgap1
ENSMUSG00000004961|Syt5
ENSMUSG00000028845|Tekt2
ENSMUSG00000057455|Rit2
ENSMUSG00000098552|Gm27217
ENSMUSG00000025579|Gaa
ENSMUSG00000041141|Pnmal1
