ENSMUSG00000019689|Fmc1
ENSMUSG00000037818|Abhd18
ENSMUSG00000034731|Dgkh
ENSMUSG00000051652|Lrrc3
ENSMUSG00000031887|Tradd
ENSMUSG00000033629|Hacd3
ENSMUSG00000069678|Pcgf1
ENSMUSG00000028969|Cdk5
ENSMUSG00000014602|Kif1a
ENSMUSG00000026568|Mpc2
ENSMUSG00000046056|Sbsn
