ENSMUSG00000063870|Chd4
ENSMUSG00000028936|Rpl22
ENSMUSG00000006728|Cdk4
ENSMUSG00000023004|Tuba1b
ENSMUSG00000040952|Rps19
ENSMUSG00000028426|Rad23b
ENSMUSG00000039615|Stub1
ENSMUSG00000039630|Hnrnpu
ENSMUSG00000039218|Srrm2
ENSMUSG00000043962|Thrap3
ENSMUSG00000024491|Rbm27
