ENSMUSG00000034998|Foxn2
ENSMUSG00000036591|Arhgap21
ENSMUSG00000097784|A430105J06Rik
ENSMUSG00000028389|Zfp37
ENSMUSG00000038323|1700066M21Rik
ENSMUSG00000092083|Kcnb2
ENSMUSG00000010311|Optc
ENSMUSG00000029094|Afap1
ENSMUSG00000035456|Prdm8
ENSMUSG00000025938|Slco5a1
ENSMUSG00000022887|Masp1
