ENSMUSG00000031644|Nek1
ENSMUSG00000020389|Cdkl3
ENSMUSG00000020375|Rufy1
ENSMUSG00000106918|Mrpl33
ENSMUSG00000013822|Elof1
ENSMUSG00000001039|B9d1
ENSMUSG00000028998|Tomm7
ENSMUSG00000021540|Smad5
ENSMUSG00000023169|Slc38a1
ENSMUSG00000033282|Rpgrip1l
ENSMUSG00000061175|Fnip2
