ENSMUSG00000075271|Ttc30a1
ENSMUSG00000102014|2900009J06Rik
ENSMUSG00000020083|Fam241b
ENSMUSG00000058756|Thra
ENSMUSG00000030930|Chst15
ENSMUSG00000000934|Top1mt
ENSMUSG00000000223|Drp2
ENSMUSG00000078307|AI593442
ENSMUSG00000044006|Cilp2
ENSMUSG00000040125|Gpr26
ENSMUSG00000048814|Lonrf2
