ENSMUSG00000019874|Fabp7
ENSMUSG00000037466|Tedc1
ENSMUSG00000059447|Hadhb
ENSMUSG00000028524|Sgip1
ENSMUSG00000020570|Sypl
ENSMUSG00000034295|Fhod3
ENSMUSG00000020284|1810043G02Rik
ENSMUSG00000020541|Tom1l1
ENSMUSG00000098557|Kctd12
ENSMUSG00000050447|Lypd6
ENSMUSG00000029201|Ugdh
