ENSMUSG00000054752|Fsd1l
ENSMUSG00000054057|A930004D18Rik
ENSMUSG00000034164|Emid1
ENSMUSG00000114649|3110006O06Rik
ENSMUSG00000060548|Tnfrsf19
ENSMUSG00000026575|Nme7
ENSMUSG00000021028|Mbip
ENSMUSG00000060149|BC002059
ENSMUSG00000039841|Zfp800
ENSMUSG00000069272|Hist1h2ae
ENSMUSG00000051627|Hist1h1e
