ENSMUSG00000022098|Bmp1
ENSMUSG00000046523|Kctd4
ENSMUSG00000026730|Pter
ENSMUSG00000027257|Pacsin3
ENSMUSG00000053334|Ficd
ENSMUSG00000033083|Tbc1d4
ENSMUSG00000022860|Chodl
ENSMUSG00000058145|Adamts17
ENSMUSG00000045589|Frrs1l
ENSMUSG00000030774|Pak1
ENSMUSG00000029086|Prom1
