ENSMUSG00000021179|Nrde2
ENSMUSG00000046380|Jrk
ENSMUSG00000035495|Tstd2
ENSMUSG00000073096|Lrrc61
ENSMUSG00000060376|Bckdha
ENSMUSG00000040123|Zmym5
ENSMUSG00000025265|Fgd1
ENSMUSG00000027259|Adal
ENSMUSG00000027011|Ube2e3
ENSMUSG00000062785|Kcnc3
ENSMUSG00000048728|Zfp454
