ENSMUSG00000026663|Atf6
ENSMUSG00000026707|Nsun6
ENSMUSG00000029146|Snx17
ENSMUSG00000062234|Gak
ENSMUSG00000039834|Zfp335
ENSMUSG00000064289|Tank
ENSMUSG00000020115|Tbk1
ENSMUSG00000036138|Acaa1a
ENSMUSG00000028458|Tesk1
ENSMUSG00000003360|Ddx23
ENSMUSG00000042997|Nhlrc3
