ENSMUSG00000034403|Pja1
ENSMUSG00000034163|Zfc3h1
ENSMUSG00000024083|Pja2
ENSMUSG00000062761|Zfp512
ENSMUSG00000027534|Snx16
ENSMUSG00000040649|Rimklb
ENSMUSG00000047187|Rab2a
ENSMUSG00000021087|Rtn1
ENSMUSG00000025920|Stau2
ENSMUSG00000020386|Sar1b
ENSMUSG00000058672|Tubb2a
