ENSMUSG00000048701|Ccdc6
ENSMUSG00000022556|Hsf1
ENSMUSG00000039715|Wdr34
ENSMUSG00000029575|Mmab
ENSMUSG00000022855|Senp2
ENSMUSG00000064284|Cdpf1
ENSMUSG00000031622|Sin3b
ENSMUSG00000024325|Ring1
ENSMUSG00000049657|Zbtb5
ENSMUSG00000037773|Pced1a
ENSMUSG00000031563|Wwc2
