ENSMUSG00000062380|Tubb3
ENSMUSG00000022285|Ywhaz
ENSMUSG00000030811|Fbxl19
ENSMUSG00000022536|Glyr1
ENSMUSG00000031072|Oraov1
ENSMUSG00000052727|Map1b
ENSMUSG00000022433|Csnk1e
ENSMUSG00000030401|Rtn2
ENSMUSG00000045438|Cox19
ENSMUSG00000041164|Zmiz2
ENSMUSG00000051007|Gatd1
