ENSMUSG00000027162|Lin7c
ENSMUSG00000010538|Tsacc
ENSMUSG00000030034|Ino80b
ENSMUSG00000078970|Wdr92
ENSMUSG00000057367|Birc2
ENSMUSG00000019813|Cep57l1
ENSMUSG00000003423|Pih1d1
ENSMUSG00000036327|Qsox2
ENSMUSG00000029089|5730480H06Rik
ENSMUSG00000034121|Mks1
ENSMUSG00000033671|Cep350
