ENSMUSG00000038550|Ciart
ENSMUSG00000035637|Grhpr
ENSMUSG00000053553|3110082I17Rik
ENSMUSG00000030431|Tmem238
ENSMUSG00000014859|E2f4
ENSMUSG00000030826|Bcat2
ENSMUSG00000041438|Utp4
ENSMUSG00000028093|Acp6
ENSMUSG00000002006|Pdzd4
ENSMUSG00000027999|Pla2g12a
ENSMUSG00000031584|Gsr
