ENSMUSG00000037896|Rcor1
ENSMUSG00000040481|Bptf
ENSMUSG00000100680|1810044D09Rik
ENSMUSG00000027365|Trpm7
ENSMUSG00000041852|Tcf20
ENSMUSG00000004568|Arhgef18
ENSMUSG00000038095|Sbno1
ENSMUSG00000068284|Usf3
ENSMUSG00000041740|Rnf10
ENSMUSG00000029775|Klhdc10
ENSMUSG00000014349|Ube2z
