ENSMUSG00000030772|Dkk3
ENSMUSG00000027996|Sfrp2
ENSMUSG00000025931|Paqr8
ENSMUSG00000072949|Acot1
ENSMUSG00000032482|Cspg5
ENSMUSG00000035805|Mlc1
ENSMUSG00000039533|Mmd2
ENSMUSG00000002332|Dhrs1
ENSMUSG00000013698|Pea15a
ENSMUSG00000028194|Ddah1
ENSMUSG00000095930|Nim1k
