ENSMUSG00000020691|Mettl2
ENSMUSG00000037070|Rbmxl1
ENSMUSG00000025817|Nudt5
ENSMUSG00000052565|Hist1h1d
ENSMUSG00000030421|Uri1
ENSMUSG00000037339|Fam53a
ENSMUSG00000020180|Snrpd3
ENSMUSG00000030188|Magohb
ENSMUSG00000037601|Nme1
ENSMUSG00000061613|U2af1
ENSMUSG00000028495|Rps6
