ENSMUSG00000039531|Zufsp
ENSMUSG00000047766|Lrrc49
ENSMUSG00000007039|Ddah2
ENSMUSG00000034675|Dbn1
ENSMUSG00000052033|Pfdn4
ENSMUSG00000056201|Cfl1
ENSMUSG00000008859|Rala
ENSMUSG00000026197|Zfand2b
ENSMUSG00000042323|Pbrm1
ENSMUSG00000026209|Dnpep
ENSMUSG00000029580|Actb
