ENSMUSG00000046876|Atxn1
ENSMUSG00000042213|Zfand4
ENSMUSG00000023966|Rsph9
ENSMUSG00000031765|Mt1
ENSMUSG00000050556|Kcnb1
ENSMUSG00000037624|Kcnk2
ENSMUSG00000035206|Sppl2b
ENSMUSG00000037784|Dzip1l
ENSMUSG00000085271|E130006D01Rik
ENSMUSG00000112278|Gm30025
ENSMUSG00000037196|Pacrg
