ENSMUSG00000022516|Nudt16l1
ENSMUSG00000020962|Gtf2a1
ENSMUSG00000026179|Pnkd
ENSMUSG00000047213|Ythdf3
ENSMUSG00000033739|Fkbpl
ENSMUSG00000075703|Selenoi
ENSMUSG00000022263|Trio
ENSMUSG00000063455|D630045J12Rik
ENSMUSG00000022412|Mief1
ENSMUSG00000033454|Zbtb1
ENSMUSG00000026842|Abl1
