ENSMUSG00000039476|Prrx2
ENSMUSG00000002688|Prkd1
ENSMUSG00000048758|Rpl29
ENSMUSG00000006494|Pdk1
ENSMUSG00000049124|Gm8186
ENSMUSG00000021466|Ptch1
ENSMUSG00000049532|Sall2
ENSMUSG00000022610|Mapk12
ENSMUSG00000031161|Hdac6
ENSMUSG00000021699|Pde4d
ENSMUSG00000089726|Mir17hg
