ENSMUSG00000020022|Ndufa12
ENSMUSG00000039640|Mrpl12
ENSMUSG00000046675|Tmem251
ENSMUSG00000052962|Mrpl35
ENSMUSG00000002345|Borcs8
ENSMUSG00000027397|Slc20a1
ENSMUSG00000021203|Otub2
ENSMUSG00000056091|St3gal5
ENSMUSG00000081984|Dnajb3
ENSMUSG00000056234|Ncoa4
ENSMUSG00000037536|Fbxo34
