ENSMUSG00000031783|Polr2c
ENSMUSG00000034024|Cct2
ENSMUSG00000025580|Eif4a3
ENSMUSG00000003038|Hmgn2
ENSMUSG00000026021|Sumo1
ENSMUSG00000026020|Nop58
ENSMUSG00000025613|Cct8
ENSMUSG00000074088|Snrnp40
ENSMUSG00000028096|Gpr89
ENSMUSG00000026238|Ptma
ENSMUSG00000024800|Rpp30
