ENSMUSG00000008575|Nfib
ENSMUSG00000020032|Nuak1
ENSMUSG00000044231|Nhlrc1
ENSMUSG00000021597|Slf1
ENSMUSG00000044288|Cnr1
ENSMUSG00000110156|Gm42067
ENSMUSG00000074923|Pak6
ENSMUSG00000022577|Ly6h
ENSMUSG00000074664|A830092H15Rik
ENSMUSG00000055430|Nap1l5
ENSMUSG00000010086|Rnf112
