ENSMUSG00000034574|Daam1
ENSMUSG00000001998|Ap4e1
ENSMUSG00000052676|Zmat1
ENSMUSG00000049580|Tsku
ENSMUSG00000036879|Phkb
ENSMUSG00000047246|Hist1h2be
ENSMUSG00000068551|Zfp467
ENSMUSG00000024900|Cpt1a
ENSMUSG00000027351|Spred1
ENSMUSG00000021013|Ttc8
ENSMUSG00000036854|Hspb6
