ENSMUSG00000054428|Atpif1
ENSMUSG00000033379|Atp6v0b
ENSMUSG00000062661|Ncs1
ENSMUSG00000032606|Nicn1
ENSMUSG00000070462|Tlnrd1
ENSMUSG00000029106|Add1
ENSMUSG00000032398|Snapc5
ENSMUSG00000037395|Rcor3
ENSMUSG00000098702|1500015A07Rik
ENSMUSG00000037243|Zfp692
ENSMUSG00000044098|Rsbn1
