ENSMUSG00000021610|Clptm1l
ENSMUSG00000029787|Avl9
ENSMUSG00000030051|Aplf
ENSMUSG00000048696|Mex3d
ENSMUSG00000028483|Snapc3
ENSMUSG00000058291|Zfp68
ENSMUSG00000005069|Pex5
ENSMUSG00000002409|Dyrk1b
ENSMUSG00000005514|Por
ENSMUSG00000048970|C1galt1c1
ENSMUSG00000024068|Spast
