ENSMUSG00000025059|Gk
ENSMUSG00000021681|Aggf1
ENSMUSG00000068663|Clec16a
ENSMUSG00000038774|Ascc3
ENSMUSG00000069539|Scyl2
ENSMUSG00000097571|Jpx
ENSMUSG00000071037|Camkmt
ENSMUSG00000034681|Rnps1
ENSMUSG00000029276|Glmn
ENSMUSG00000045466|Zfp956
ENSMUSG00000074500|Zfp558
